object_id,problem_type,constraint,aircraft_skin_processing,arc_existence,base_composition_balance,battery_pack_design,battery_pack_voltage_range,budget_limit,charging_station_location,demand_allocation,demand_area_expansion,demand_coverage,depot_departure_return,dinucleotide_repetition_limit,dna_sequence_design,faulty_module_isolation,feasibility,flow_conservation,forbidden_motif,gc_content,inter_job_precedence,job_start_time_window,job_temporal_bounds,load_demand_satisfaction,location_exclusion,max_module_current,minimize_energy_loss,minimize_makespan,minimize_total_cost,minimize_total_distance,module_usage_balancing,non_preemption,operation_end_time_window,operation_level_precedence,operation_precedence,operational_capacity_derating,parallel_activation_consistency,resource_capacity_no_overlap,resource_flexibility,reverse_complementarity,sequence_dependent_setup,sequence_diversity,site_capacity,site_diversity,site_opening,spatial_block_activation_limit,subtour_elimination,switch_count_limit,terminal_gc_stability,travel_cost_limit,vehicle_capacity,vehicle_capacity_relaxed,visit_once,vrp,vrp_time_window,watson_crick_pairing
1,Aircraft Skin Processing,base,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
2,Aircraft Skin Processing,1,x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
3,Aircraft Skin Processing,2,x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
4,Aircraft Skin Processing,3,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
5,Aircraft Skin Processing,4,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
6,Aircraft Skin Processing,5,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
7,Aircraft Skin Processing,6,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
8,Aircraft Skin Processing,"1,2",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
9,Aircraft Skin Processing,"1,3",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
10,Aircraft Skin Processing,"1,4",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
11,Aircraft Skin Processing,"1,5",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
12,Aircraft Skin Processing,"1,6",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
13,Aircraft Skin Processing,"2,3",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
14,Aircraft Skin Processing,"2,4",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
15,Aircraft Skin Processing,"2,5",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
16,Aircraft Skin Processing,"2,6",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
17,Aircraft Skin Processing,"3,4",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
18,Aircraft Skin Processing,"3,5",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
19,Aircraft Skin Processing,"3,6",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
20,Aircraft Skin Processing,"4,5",x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
21,Aircraft Skin Processing,"4,6",x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
22,Aircraft Skin Processing,"5,6",x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,,x,x,,x,,,,,,,,,,,,,,,
23,Aircraft Skin Processing,"1,2,3",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,,
24,Aircraft Skin Processing,"1,2,4",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
25,Aircraft Skin Processing,"1,2,5",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
26,Aircraft Skin Processing,"1,2,6",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
27,Aircraft Skin Processing,"1,3,4",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
28,Aircraft Skin Processing,"1,3,5",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
29,Aircraft Skin Processing,"1,3,6",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
30,Aircraft Skin Processing,"1,4,5",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
31,Aircraft Skin Processing,"1,4,6",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
32,Aircraft Skin Processing,"1,5,6",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,,x,,,x,x,,x,,,,,,,,,,,,,,,
33,Aircraft Skin Processing,"2,3,4",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
34,Aircraft Skin Processing,"2,3,5",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
35,Aircraft Skin Processing,"2,3,6",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
36,Aircraft Skin Processing,"2,4,5",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
37,Aircraft Skin Processing,"2,4,6",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
38,Aircraft Skin Processing,"2,5,6",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,x,,x,,,x,x,,x,,,,,,,,,,,,,,,
39,Aircraft Skin Processing,"3,4,5",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
40,Aircraft Skin Processing,"3,4,6",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
41,Aircraft Skin Processing,"3,5,6",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,x,,x,,,x,x,,x,,,,,,,,,,,,,,,
42,Aircraft Skin Processing,"4,5,6",x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
43,Aircraft Skin Processing,"1,2,3,4",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,,x,x,,,x,x,,,,,,,,,,,,,,,,,
44,Aircraft Skin Processing,"1,2,3,5",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,x,,x,,,x,x,,,,,,,,,,,,,,,,,
45,Aircraft Skin Processing,"1,2,3,6",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,,,x,,,x,x,,x,,,,,,,,,,,,,,,
46,Aircraft Skin Processing,"1,2,4,5",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
47,Aircraft Skin Processing,"1,2,4,6",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
48,Aircraft Skin Processing,"1,2,5,6",x,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,x,x,,x,,,x,x,,x,,,,,,,,,,,,,,,
49,Aircraft Skin Processing,"1,3,4,5",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
50,Aircraft Skin Processing,"1,3,4,6",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
51,Aircraft Skin Processing,"1,3,5,6",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,x,,x,,,x,x,,x,,,,,,,,,,,,,,,
52,Aircraft Skin Processing,"1,4,5,6",x,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
53,Aircraft Skin Processing,"2,3,4,5",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
54,Aircraft Skin Processing,"2,3,4,6",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
55,Aircraft Skin Processing,"2,4,5,6",x,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
56,Aircraft Skin Processing,"3,4,5,6",x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
57,Aircraft Skin Processing,"1,2,3,4,5",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,
58,Aircraft Skin Processing,"1,2,3,4,6",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,,x,x,,,x,x,,x,,,,,,,,,,,,,,,
59,Aircraft Skin Processing,"1,3,4,5,6",x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
60,Aircraft Skin Processing,"2,3,4,5,6",x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
61,Aircraft Skin Processing,"1,2,3,4,5,6",x,,,,,,,,,,,,,,,,,,x,x,x,,,,,x,,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,,,
62,Battery Pack Design,base,,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
63,Battery Pack Design,1,,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,
64,Battery Pack Design,2,,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,
65,Battery Pack Design,3,,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,
66,Battery Pack Design,4,,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
67,Battery Pack Design,"1,2",,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,,,x,,,,,,,,
68,Battery Pack Design,"1,3",,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,
69,Battery Pack Design,"1,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,
70,Battery Pack Design,"2,3",,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,
71,Battery Pack Design,"2,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,
72,Battery Pack Design,"3,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,
73,Battery Pack Design,"1,2,3",,,,x,x,,,,,,,,,,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,x,,x,,,,,,,,
74,Battery Pack Design,"1,2,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,,,x,,,,,,,,
75,Battery Pack Design,"1,3,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,
76,Battery Pack Design,"2,3,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,
77,Battery Pack Design,"1,2,3,4",,,,x,x,,,,,,,,,x,,,,,,,,x,,x,x,,,,x,,,,,,x,,,,,,,,,x,,x,,,,,,,,
78,Charging Station Location,base,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,
79,Charging Station Location,1,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,
80,Charging Station Location,2,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,
